label,peak_task_idx,rel_t_sec,h1_total_persistence,lambda2,aspl,h1_zero,best_pair,z_h1_total_persistence,z_lambda2,z_aspl
P11,3,-1.75,0.0018740367511357325,8.334874589733532,1.1908296175159332,0,Alpha_mean x p00,-0.8859658443528513,2.14067087767419,-2.1302212273551047
P11,3,-1.625,0.0,9.015729533997861,1.1498085424938778,1,Alpha_mean x p00,-0.8943892270385189,2.511462210862806,-2.2488274137618753
P11,3,-1.5,0.008106945517330932,10.749363293678543,1.1524811986540289,0,Alpha_mean x p00,-0.8579502914290912,3.455593377755284,-2.241099835814158
P11,3,-1.375,0.0,4.878191104730146,1.6683792069972776,1,Alpha_mean x p00,-0.8943892270385189,0.2581725737213875,-0.7494593726731457
P11,3,-1.25,0.30483519481145094,4.022998691309204,1.9456009757697474,0,Alpha_mean x p00,0.47577787368709207,-0.20756236406006487,0.0520851203798464
P11,3,-1.125,0.11053393541304757,3.7988489634951788,1.9300327621073115,0,Alpha_mean x p00,-0.39756351795212763,-0.3296335586811631,0.007072003325392562
P11,3,-1.0,0.10015388955141014,4.685925456921321,1.889634652155394,0,Alpha_mean x p00,-0.4442195392571334,0.15346534279360594,-0.10973297452714183
P11,3,-0.875,0.0,4.280320073117117,1.914764088697914,1,Alpha_mean x p00,-0.8943892270385189,-0.06742599724321299,-0.03707503874031164
P11,3,-0.75,0.0,3.8520957085690952,2.01829473421092,1,Alpha_mean x p00,-0.8943892270385189,-0.3006355587984644,0.26226804366127654
P11,3,-0.625,0.30183376883550717,2.6573668449854018,2.184800934203358,0,Alpha_mean x p00,0.46228712459545557,-0.9512809155796792,0.7436953437397847
P11,3,-0.5,0.3343830568547095,3.9881136801908768,2.070688201335581,0,Alpha_mean x p00,0.6085890095321289,-0.22656062483474532,0.4137557685671554
P11,3,-0.375,0.2581200433177693,2.4154764354476903,2.007071142754284,0,Alpha_mean x p00,0.26580355060525124,-1.083013626333422,0.2298167395512925
P11,3,-0.25,0.21795106835508993,3.4291166244279916,2.00300957537448,0,Alpha_mean x p00,0.08525285009385952,-0.5309885581279234,0.21807333649582164
P11,3,-0.125,0.5343900066768735,4.326404919145833,1.931276510001986,0,Alpha_mean x p00,1.5075762236965249,-0.042328343708151514,0.010668110803304357
P11,3,0.0,0.024452445759217123,5.010711788176182,1.7025878598188517,0,Alpha_mean x p00,-0.7844808657934209,0.3303428962019212,-0.6505502667782213
