condition,iteration,metric,median_diff
false_session_matching,98,delta_h1_zero,0.06015037593984962
false_session_matching,98,delta_lambda2,-0.6910576476808192
false_session_matching,98,delta_aspl,0.10599072844755009
false_session_matching,99,delta_h1_zero,0.05263157894736842
false_session_matching,99,delta_lambda2,-0.2925314624498161
false_session_matching,99,delta_aspl,-0.02852148146795841
random_fake_quantum,0,delta_h1_zero,0.05263157894736842
random_fake_quantum,0,delta_lambda2,-1.3460321822847074
random_fake_quantum,0,delta_aspl,0.20616514657703977
random_fake_quantum,1,delta_h1_zero,0.13533834586466165
random_fake_quantum,1,delta_lambda2,0.1372851961566275
random_fake_quantum,1,delta_aspl,-0.006921543611126069
random_fake_quantum,2,delta_h1_zero,-0.015037593984962405
random_fake_quantum,2,delta_lambda2,0.37134938038133836
random_fake_quantum,2,delta_aspl,-0.02463663559323992
random_fake_quantum,3,delta_h1_zero,0.02631578947368421
random_fake_quantum,3,delta_lambda2,0.2912447307486503
random_fake_quantum,3,delta_aspl,-0.3428941340777869
random_fake_quantum,4,delta_h1_zero,0.0
random_fake_quantum,4,delta_lambda2,0.23207354289456683
random_fake_quantum,4,delta_aspl,-0.02232521471449367
random_fake_quantum,5,delta_h1_zero,-0.03759398496240601
random_fake_quantum,5,delta_lambda2,0.6315036034096959
random_fake_quantum,5,delta_aspl,-0.26613023556053017
random_fake_quantum,6,delta_h1_zero,-0.14285714285714285
random_fake_quantum,6,delta_lambda2,0.15826402372124138
random_fake_quantum,6,delta_aspl,-0.08108642548006895
random_fake_quantum,7,delta_h1_zero,0.0
random_fake_quantum,7,delta_lambda2,-0.2771918686556023
random_fake_quantum,7,delta_aspl,-0.1776848749485147
random_fake_quantum,8,delta_h1_zero,0.0
random_fake_quantum,8,delta_lambda2,-0.1081499409456892
random_fake_quantum,8,delta_aspl,0.17439378482667134
random_fake_quantum,9,delta_h1_zero,0.0
random_fake_quantum,9,delta_lambda2,0.15332632000730229
random_fake_quantum,9,delta_aspl,-0.1294750808442271
random_fake_quantum,10,delta_h1_zero,-0.015037593984962405
random_fake_quantum,10,delta_lambda2,-0.8066976184687316
random_fake_quantum,10,delta_aspl,0.18046165720950613
random_fake_quantum,11,delta_h1_zero,-0.06766917293233082
random_fake_quantum,11,delta_lambda2,-0.26344194681941113
random_fake_quantum,11,delta_aspl,-0.028025167247460736
random_fake_quantum,12,delta_h1_zero,0.10902255639097744
random_fake_quantum,12,delta_lambda2,0.1340497628433075
random_fake_quantum,12,delta_aspl,-0.09451768356808632
random_fake_quantum,13,delta_h1_zero,-0.011278195488721804
random_fake_quantum,13,delta_lambda2,0.19826019254477711
random_fake_quantum,13,delta_aspl,-0.018067691512632766
random_fake_quantum,14,delta_h1_zero,0.0
random_fake_quantum,14,delta_lambda2,-0.3269897861345896
random_fake_quantum,14,delta_aspl,0.073599354679585
random_fake_quantum,15,delta_h1_zero,-0.11654135338345864
random_fake_quantum,15,delta_lambda2,-0.028675146563406972
random_fake_quantum,15,delta_aspl,-0.023457524986465028
random_fake_quantum,16,delta_h1_zero,-0.05263157894736842
random_fake_quantum,16,delta_lambda2,-0.9803286402153861
random_fake_quantum,16,delta_aspl,0.17139466872452358
random_fake_quantum,17,delta_h1_zero,-0.03759398496240601
random_fake_quantum,17,delta_lambda2,0.4064052143012282
random_fake_quantum,17,delta_aspl,-0.21104704070327784
random_fake_quantum,18,delta_h1_zero,-0.23308270676691728
random_fake_quantum,18,delta_lambda2,-1.32523415369555
random_fake_quantum,18,delta_aspl,0.3056448451171434
random_fake_quantum,19,delta_h1_zero,-0.015037593984962405
random_fake_quantum,19,delta_lambda2,0.5195528626316577
random_fake_quantum,19,delta_aspl,0.07491299684183161
random_fake_quantum,20,delta_h1_zero,0.07142857142857142
random_fake_quantum,20,delta_lambda2,-0.0643486511159237
random_fake_quantum,20,delta_aspl,0.09462068153406511
random_fake_quantum,21,delta_h1_zero,-0.19548872180451127
random_fake_quantum,21,delta_lambda2,-0.5926441000082598
random_fake_quantum,21,delta_aspl,-0.011542937897417671
random_fake_quantum,22,delta_h1_zero,0.03759398496240601
